"Time","power 3devo-recycling-station","power olsk-large-laser-1","power prusa-mini-1","power prusa-mini-2","power prusa-mk4-1","power prusa-mk4-2","power prusa-mk4-3","power prusa-xl-1"
2024-11-02 12:46:00,0 W,0 W,0 W,40 mW,0 W,0 W,0 W,0 W
2024-11-02 12:51:00,0 W,0 W,28.6 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 12:56:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 13:01:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-02 13:06:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-02 13:11:00,0 W,0 W,12.5 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 13:16:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 13:21:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-02 13:26:00,0 W,0 W,20 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 13:31:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 13:36:00,0 W,0 W,0 W,14.3 mW,0 W,0 W,0 W,0 W
2024-11-02 13:41:00,0 W,0 W,20 mW,14.3 mW,0 W,0 W,0 W,0 W
2024-11-02 13:46:00,0 W,0 W,0 W,11.1 mW,0 W,0 W,0 W,0 W
2024-11-02 13:51:00,0 W,0 W,0 W,40 mW,0 W,0 W,0 W,0 W
2024-11-02 13:56:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 14:01:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 14:06:00,0 W,0 W,20 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 14:11:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 14:16:00,0 W,0 W,25 mW,20 mW,0 W,0 W,0 W,0 W
2024-11-02 14:21:00,0 W,0 W,20 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 14:26:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 14:31:00,0 W,0 W,20 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 14:36:00,0 W,0 W,20 mW,20 mW,0 W,0 W,0 W,0 W
2024-11-02 14:41:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-02 14:46:00,0 W,0 W,20 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 14:51:00,0 W,0 W,0 W,40 mW,0 W,0 W,0 W,0 W
2024-11-02 14:56:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 15:01:00,0 W,0 W,0 W,14.3 mW,0 W,0 W,0 W,0 W
2024-11-02 15:06:00,0 W,0 W,42.9 mW,40 mW,0 W,0 W,0 W,0 W
2024-11-02 15:11:00,0 W,0 W,0 W,16.7 mW,0 W,0 W,0 W,0 W
2024-11-02 15:16:00,0 W,0 W,0 W,25 mW,0 W,0 W,0 W,0 W
2024-11-02 15:21:00,0 W,0 W,40 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 15:26:00,0 W,0 W,20 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 15:31:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-02 15:36:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 15:41:00,0 W,0 W,16.7 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 15:46:00,0 W,0 W,0 W,14.3 mW,0 W,0 W,0 W,0 W
2024-11-02 15:51:00,0 W,0 W,40 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 15:56:00,0 W,0 W,20 mW,20 mW,0 W,0 W,0 W,0 W
2024-11-02 16:01:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 16:06:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-02 16:11:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-02 16:16:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 16:21:00,0 W,0 W,20 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 16:26:00,0 W,0 W,20 mW,20 mW,0 W,0 W,0 W,0 W
2024-11-02 16:31:00,0 W,0 W,20 mW,20 mW,0 W,0 W,0 W,0 W
2024-11-02 16:36:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 16:41:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 16:46:00,0 W,0 W,40 mW,0 W,0 W,0 W,0 W,0 W
2024-11-02 16:51:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-02 16:56:00,0 W,0 W,20 mW,14.3 mW,0 W,0 W,0 W,0 W
2024-11-02 17:01:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 17:06:00,0 W,0 W,20 mW,20 mW,0 W,0 W,0 W,0 W
2024-11-02 17:11:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 17:16:00,0 W,0 W,14.3 mW,20 mW,0 W,0 W,0 W,0 W
2024-11-02 17:21:00,0 W,0 W,0 W,40 mW,0 W,0 W,0 W,0 W
